,단축코드,한글 종목약명,시장구분,Degree,community_code,community_label,KOSPI_sector,market_cap,market_cap_row
1045,095720,웅진씽크빅,KOSPI,58,3,교육서비스 및 문구류,서비스업,"3,667억원",3667
1046,005820,원림,KOSPI,55,6,"화학, 섬유",섬유의복,435억원,435
1047,032940,원익,KOSDAQ,57,11,"의료, 제약 및 생물공학",도매,777억원,777
1048,104830,원익머트리얼즈,KOSDAQ,80,12,반도체,반도체,"4,375억원",4375
1049,240810,원익IPS,KOSDAQ,68,12,반도체,반도체,"20,272억원",20272
1050,014190,원익큐브,KOSDAQ,91,6,"화학, 섬유",도매,"1,175억원",1175
1051,074600,원익QnC,KOSDAQ,67,12,반도체,비금속,"7,518억원",7518
1052,030530,원익홀딩스,KOSDAQ,79,12,반도체,"기계,장비","3,707억원",3707
1053,012620,원일특강,KOSDAQ,67,10,철강금속,금속,607억원,607
1054,008370,원풍,KOSDAQ,76,6,"화학, 섬유",화학,613억원,613
1055,008290,원풍물산,KOSDAQ,50,11,"의료, 제약 및 생물공학","섬유,의류",572억원,572
1056,101160,월덱스,KOSDAQ,79,12,반도체,반도체,"4,640억원",4640
1057,095270,웨이브일렉트로,KOSDAQ,50,12,반도체,IT부품,814억원,814
1058,010600,웰바이오텍,KOSPI,58,6,"화학, 섬유",유통업,968억원,968
1059,065950,웰크론,KOSDAQ,58,13,기계장비,"섬유,의류","1,218억원",1218
1060,076080,웰크론한텍,KOSDAQ,51,0,"건설, 장비, 기기",종합건설,883억원,883
1061,196700,웹스,KOSDAQ,52,0,"건설, 장비, 기기",화학,734억원,734
1062,069080,웹젠,KOSDAQ,59,8,"광고, 디지털컨텐츠, 엔터테인먼트",디지털컨텐츠,"9,181억원",9181
1063,044340,위닉스,KOSDAQ,59,9,"가전, 전자장비, 기타 부품 및 제품",일반전기전자,"3,593억원",3593
1064,112040,위메이드,KOSDAQ,55,8,"광고, 디지털컨텐츠, 엔터테인먼트",디지털컨텐츠,"52,882억원",52882
1065,038620,위즈코프,KOSDAQ,80,16,IT서비스,소매,"1,694억원",1694
1066,036090,위지트,KOSDAQ,75,12,반도체,"기계,장비","1,516억원",1516
1067,136540,윈스,KOSDAQ,82,16,IT서비스,소프트웨어,"2,064억원",2064
1068,097800,윈팩,KOSDAQ,52,0,"건설, 장비, 기기",반도체,961억원,961
1069,192390,윈하이텍,KOSDAQ,60,15,건설,금속,412억원,412
1070,008600,윌비스,KOSPI,85,3,교육서비스 및 문구류,유통업,"1,105억원",1105
1071,014830,유니드,KOSPI,75,6,"화학, 섬유",화학,"9,157억원",9157
1072,036200,유니셈,KOSDAQ,52,12,반도체,반도체,"4,201억원",4201
1073,018000,유니슨,KOSDAQ,81,13,기계장비,"기계,장비","3,506억원",3506
1074,047400,유니온머티리얼,KOSPI,52,7,운수장비,비금속광물,"1,260억원",1260
1075,000910,유니온,KOSPI,55,15,건설,비금속광물,"1,141억원",1141
1076,203450,유니온커뮤니티,KOSDAQ,66,16,IT서비스,일반전기전자,568억원,568
1077,011330,유니켐,KOSPI,56,6,"화학, 섬유",미분류,920억원,920
