종목명,시가총액,상장주식수,시장구분,btin,SIC,GICS
아이오케이,"77,110,473,980","39,747,667",KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업","오락,문화","미디어,교육"
가온미디어,"84,911,585,850","14,514,801",KOSDAQ,통신 및 방송 장비 제조업,통신장비,IT가전
GS,"4,840,891,193,800","92,915,378",KOSPI,기타 금융업,기타금융업,에너지
코드네이처,"48,810,394,020","44,780,178",KOSDAQ,전기 및 통신 공사업,전문건설,에너지
와토스코리아,"39,024,000,000","7,200,000",KOSDAQ,플라스틱제품 제조업,화학,"건설,건축관련"
CJ CGV,"841,162,191,750","21,161,313",KOSPI,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업,"미디어,교육"
한창산업,"28,808,000,000","5,200,000",KOSDAQ,1차 비철금속 제조업,금속,"비철,목재등"
EMW,"88,360,067,660","31,784,197",KOSDAQ,통신 및 방송 장비 제조업,통신장비,IT하드웨어
제우스,"125,646,400,000","10,384,000",KOSDAQ,특수 목적용 기계 제조업,"기계,장비",반도체
현대리바트,"389,143,593,900","20,535,282",KOSPI,가구 제조업,미분류,"건설,건축관련"
LIG넥스원,"864,600,000,000","22,000,000",KOSPI,무기 및 총포탄 제조업,기계,"상사,자본재"
서산,"61,700,000,000","20,000,000",KOSDAQ,"시멘트, 석회, 플라스터 및 그 제품 제조업",비금속,"건설,건축관련"
디이엔티,"20,832,509,600","8,979,530",KOSDAQ,특수 목적용 기계 제조업,"기계,장비",디스플레이
가비아,"89,200,157,560","13,535,684",KOSDAQ,소프트웨어 개발 및 공급업,인터넷,소프트웨어
인베니아,"79,344,000,000","23,200,000",KOSDAQ,특수 목적용 기계 제조업,"기계,장비",디스플레이
동양이엔피,"74,748,600,000","7,860,000",KOSDAQ,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",IT부품,IT가전
투비소프트,"156,253,082,960","24,376,456",KOSDAQ,소프트웨어 개발 및 공급업,소프트웨어,소프트웨어
휴비스,"258,750,000,000","34,500,000",KOSPI,화학섬유 제조업,화학,"화장품,의류,완구"
에스엔유,"82,203,273,650","34,322,870",KOSDAQ,특수 목적용 기계 제조업,"기계,장비",디스플레이
이상네트웍스,"73,832,850,000","9,015,000",KOSDAQ,상품 중개업,인터넷,소매(유통)
모두투어,"492,345,000,000","18,900,000",KOSDAQ,여행사 및 기타 여행보조 서비스업,사업지원,"호텔,레저서비스"
제주반도체,"114,813,362,760","28,560,538",KOSDAQ,반도체 제조업,반도체,반도체
모다이노칩,"320,879,528,550","39,860,811",KOSDAQ,"섬유, 의복, 신발 및 가죽제품 소매업",IT부품,IT하드웨어
에스제이케이,"24,431,540,350","7,196,330",KOSDAQ,자동차 부품 및 내장품 판매업,도매,자동차
성창오토텍,"52,414,000,000","7,300,000",KOSDAQ,자동차 신품 부품 제조업,"운송장비,부품",자동차
오디텍,"62,726,892,060","11,746,609",KOSDAQ,반도체 제조업,반도체,반도체
코디,"42,585,046,700","11,862,130",KOSDAQ,기타 화학제품 제조업,화학,"화장품,의류,완구"
오킨스전자,"18,321,000,000","6,200,000",KOSDAQ,전자부품 제조업,반도체,반도체
한국유니온제약,"87,375,174,400","5,903,728",KOSDAQ,의약품 제조업,제약,건강관리
일진다이아,"237,965,272,500","11,277,975",KOSPI,기타 화학제품 제조업,화학,"비철,목재등"
티플랙스,"60,792,347,010","24,268,402",KOSDAQ,기타 금속 가공제품 제조업,금속,"비철,목재등"
성우전자,"46,524,429,000","15,508,143",KOSDAQ,통신 및 방송 장비 제조업,IT부품,IT하드웨어
휠라홀딩스,"3,300,213,780,000","61,115,070",KOSPI,생활용품 도매업,유통업,"화장품,의류,완구"
옵트론텍,"96,108,271,020","22,560,627",KOSDAQ,사진장비 및 광학기기 제조업,IT부품,IT하드웨어
젬백스,"415,561,843,400","34,343,954",KOSDAQ,특수 목적용 기계 제조업,"기계,장비",반도체
동양생명,"943,947,722,250","161,358,585",KOSPI,보험업,보험업,보험
코스나인,"36,044,461,539","41,288,043",KOSDAQ,통신 및 방송 장비 제조업,IT부품,IT하드웨어
HSD엔진,"147,603,196,160","32,947,142",KOSPI,일반 목적용 기계 제조업,기계,조선
루미마이크로,"124,975,334,225","70,408,639",KOSDAQ,반도체 제조업,반도체,디스플레이
우리바이오,"32,675,154,727","41,518,621",KOSDAQ,전구 및 조명장치 제조업,일반전기전자,디스플레이
비츠로셀,"234,105,650,450","19,590,431",KOSDAQ,일차전지 및 축전지 제조업,IT부품,IT가전
엘오티베큠,"99,039,172,320","13,258,256",KOSDAQ,특수 목적용 기계 제조업,반도체,반도체
그린케미칼,"74,500,000,000","20,000,000",KOSPI,기타 화학제품 제조업,화학,화학
GST,"43,700,224,050","9,317,745",KOSDAQ,특수 목적용 기계 제조업,반도체,반도체
KJ프리텍,"20,628,448,715","24,704,729",KOSDAQ,플라스틱제품 제조업,IT부품,IT하드웨어
에프엔에스테크,"27,570,856,050","7,015,485",KOSDAQ,특수 목적용 기계 제조업,"기계,장비",디스플레이
케이엠,"77,933,987,770","10,004,363",KOSDAQ,기타 섬유제품 제조업,"섬유,의류",반도체
인콘,"217,196,887,200","126,277,260",KOSDAQ,통신 및 방송 장비 제조업,통신장비,IT하드웨어
비에이치아이,"81,120,000,000","26,000,000",KOSDAQ,일반 목적용 기계 제조업,"기계,장비",기계
CSA 코스믹,"97,553,346,540","19,747,641",KOSDAQ,플라스틱제품 제조업,화학,"화장품,의류,완구"
크리스탈,"783,719,919,600","40,397,934",KOSDAQ,자연과학 및 공학 연구개발업,"연구,개발",건강관리
아바코,"95,659,099,900","15,996,505",KOSDAQ,특수 목적용 기계 제조업,"기계,장비",디스플레이
대한제강,"124,219,539,360","24,646,734",KOSPI,1차 철강 제조업,철강금속,철강
휴온스글로벌,"457,268,941,050","10,404,299",KOSDAQ,의약품 제조업,제약,건강관리
수성,"63,269,452,800","10,871,040",KOSDAQ,일반 목적용 기계 제조업,"기계,장비",기계
유진테크,"272,700,899,800","22,916,042",KOSDAQ,특수 목적용 기계 제조업,반도체,반도체
랩지노믹스,"57,896,956,200","9,103,295",KOSDAQ,자연과학 및 공학 연구개발업,"연구,개발",건강관리
동양고속,"87,130,972,250","2,999,345",KOSPI,육상 여객 운송업,운수창고업,운송
이월드,"181,472,343,485","90,509,897",KOSPI,유원지 및 기타 오락관련 서비스업,서비스업,"호텔,레저서비스"
대상홀딩스,"278,836,542,600","36,212,538",KOSPI,기타 금융업,기타금융업,필수소비재
팅크웨어,"68,392,473,920","10,425,682",KOSDAQ,통신 및 방송 장비 제조업,통신장비,IT가전
티비에이치글로벌,"64,447,570,710","20,856,819",KOSPI,봉제의복 제조업,섬유의복,"화장품,의류,완구"
헬릭스미스,"3,124,235,708,000","15,956,260",KOSDAQ,자연과학 및 공학 연구개발업,"연구,개발",건강관리
엔케이,"96,779,855,920","79,983,352",KOSPI,"구조용 금속제품, 탱크 및 증기발생기 제조업",기계,기계
루트로닉,"234,477,747,300","25,212,661",KOSDAQ,의료용 기기 제조업,"의료,정밀기기",건강관리
미래에셋생명,"797,457,931,445","177,016,189",KOSPI,보험업,보험업,보험
차바이오텍,"1,075,642,462,000","52,470,364",KOSDAQ,기초 의약물질 및 생물학적 제제 제조업,제약,건강관리
뉴프렉스,"62,833,435,830","21,156,039",KOSDAQ,전자부품 제조업,IT부품,IT하드웨어
알티캐스트,"68,126,343,600","21,223,160",KOSDAQ,소프트웨어 개발 및 공급업,소프트웨어,소프트웨어
네오티스,"43,504,028,100","11,013,678",KOSDAQ,자동차 신품 부품 제조업,"운송장비,부품",자동차
바이오톡스텍,"133,266,300,450","14,564,623",KOSDAQ,자연과학 및 공학 연구개발업,"연구,개발",건강관리
진바이오텍,"38,403,218,020","8,610,587",KOSDAQ,동물용 사료 및 조제식품 제조업,"음식료,담배",건강관리
이노와이즈,"61,886,000,000","9,700,000",KOSDAQ,특수 목적용 기계 제조업,"기계,장비",자동차
현대글로비스,"4,331,250,000,000","37,500,000",KOSPI,기타 운송관련 서비스업,운수창고업,운송
유니테스트,"239,872,330,100","21,134,126",KOSDAQ,특수 목적용 기계 제조업,반도체,반도체
동국제약,"532,630,800,000","8,892,000",KOSDAQ,의약품 제조업,제약,건강관리
에코프로,"755,484,532,200","22,090,191",KOSDAQ,기타 화학제품 제조업,IT부품,화학
비엠티,"60,365,779,890","8,146,529",KOSDAQ,일반 목적용 기계 제조업,"기계,장비",기계
하나금융지주,"11,574,331,490,100","300,242,062",KOSPI,기타 금융업,기타금융업,은행
바이오솔루션,"327,617,510,500","7,847,126",KOSDAQ,기초 의약물질 및 생물학적 제제 제조업,제약,건강관리
이수앱지스,"179,188,215,160","26,625,292",KOSDAQ,의료용품 및 기타 의약 관련제품 제조업,제약,건강관리
메디톡스,"3,116,750,785,000","5,656,535",KOSDAQ,기초 의약물질 및 생물학적 제제 제조업,제약,건강관리
한컴MDS,"129,339,107,200","8,828,608",KOSDAQ,소프트웨어 개발 및 공급업,소프트웨어,소프트웨어
쇼박스,"241,949,000,000","62,600,000",KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업","오락,문화","미디어,교육"
펩트론,"364,770,700,000","15,326,500",KOSDAQ,기초 의약물질 및 생물학적 제제 제조업,제약,건강관리
모바일어플라이언스,"76,500,000,000","15,000,000",KOSDAQ,소프트웨어 개발 및 공급업,소프트웨어,IT가전
픽셀플러스,"56,757,578,100","8,166,558",KOSDAQ,전자부품 제조업,반도체,반도체
