,종목코드,종목명,시가총액_label,주식수_label,btin,SIC,GICS
174,005720,넥센,"3,025억원","5,354만주",고무제품 제조업,화학,자동차
175,005740,크라운해태홀딩스,"1,751억원","1,484만주",기타 금융업,기타금융업,필수소비재
176,005800,신영와코루,"1,170억원",90만주,봉제의복 제조업,섬유의복,"화장품,의류,완구"
177,005810,풍산홀딩스,"2,789억원",783만주,기타 금융업,기타금융업,"비철,목재등"
178,005820,원림,399억원,220만주,편조원단 제조업,섬유의복,"비철,목재등"
179,005830,DB손해보험,"51,613억원","7,080만주",보험업,보험업,보험
180,005850,에스엘,"5,638억원","3,386만주",자동차 신품 부품 제조업,운수장비,자동차
181,005880,대한해운,"5,239억원","2,442만주",해상 운송업,운수창고업,운송
182,005930,삼성전자,"2,744,261억원","641,932만주",통신 및 방송 장비 제조업,전기전자,반도체
183,005940,NH투자증권,"38,271억원","28,140만주",금융 지원 서비스업,증권,증권
184,005950,이수화학,"1,588억원","1,527만주",기초 화학물질 제조업,화학,화학
185,005960,동부건설,"1,494억원","2,086만주",토목 건설업,건설업,"건설,건축관련"
186,005990,매일홀딩스,"1,502억원","1,371만주",낙농제품 및 식용빙과류 제조업,"음식료,담배",필수소비재
187,006040,동원산업,"6,625억원",336만주,어로 어업,미분류,필수소비재
188,006050,국영지앤엠,509억원,"3,489만주",유리 및 유리제품 제조업,비금속,"건설,건축관련"
189,006090,사조오양,921억원,942만주,수산물 가공 및 저장 처리업,음식료품,필수소비재
190,006110,삼아알미늄,500억원,"1,100만주",1차 비철금속 제조업,철강금속,"비철,목재등"
191,006120,SK디스커버리,"5,501억원","1,903만주",기타 금융업,기타금융업,에너지
192,006140,피제이전자,663억원,"1,500만주",의료용 기기 제조업,"의료,정밀기기",건강관리
193,006220,제주은행,"1,098억원","2,212만주",은행 및 저축기관,은행,은행
194,006260,LS,"17,130억원","3,220만주",기타 금융업,기타금융업,기계
195,006280,녹십자,"16,828억원","1,168만주",의약품 제조업,의약품,건강관리
196,006340,대원전선,"1,076억원","6,810만주",절연선 및 케이블 제조업,전기전자,기계
197,006360,GS건설,"33,093억원","7,926만주",건물 건설업,건설업,"건설,건축관련"
198,006370,대구백화점,969억원,"1,082만주",종합 소매업,유통업,소매(유통)
199,006380,카프로,"1,918억원","4,000만주",기초 화학물질 제조업,화학,화학
200,006400,삼성SDI,"144,061억원","6,876만주",일차전지 및 축전지 제조업,전기전자,IT가전
201,006490,인스코비,"6,119억원","8,972만주",전기 통신업,통신업,통신서비스
202,006570,대림통상,624억원,"1,522만주",기타 금속 가공제품 제조업,기계,"건설,건축관련"
203,006580,대양제지,"1,009억원","2,685만주","펄프, 종이 및 판지 제조업","종이,목재","비철,목재등"
204,006620,동구바이오제약,"1,949억원",960만주,의약품 제조업,제약,건강관리
205,006650,대한유화,"10,660억원",650만주,기초 화학물질 제조업,화학,화학
206,006660,삼성공조,717억원,812만주,자동차 신품 부품 제조업,운수장비,자동차
207,006730,서부T&D,"4,704억원","5,187만주",상품 종합 도매업,"숙박,음식","호텔,레저서비스"
208,006740,영풍제지,743억원,"2,220만주","골판지, 종이 상자 및 종이용기 제조업",종이목재,"비철,목재등"
209,006840,AK홀딩스,"6,504억원","1,324만주",기타 금융업,기타금융업,화학
210,006880,신송홀딩스,502억원,"1,182만주",산업용 농·축산물 및 동·식물 도매업,유통업,필수소비재
211,006910,보성파워텍,"1,141억원","4,585만주","구조용 금속제품, 탱크 및 증기발생기 제조업",금속,기계
212,006920,모헨즈,587억원,"1,092만주","시멘트, 석회, 플라스터 및 그 제품 제조업",비금속,"건설,건축관련"
213,007070,GS리테일,"27,065억원","7,700만주",종합 소매업,유통업,소매(유통)
214,007110,일신석재,"1,293억원","7,745만주","건축자재, 철물 및 난방장치 도매업",유통업,"건설,건축관련"
215,007120,미래아이앤지,495억원,"10,358만주","컴퓨터 프로그래밍, 시스템 통합 및 관리업",서비스업,소프트웨어
216,007160,사조산업,"2,635억원",500만주,어로 어업,미분류,필수소비재
217,007210,벽산,"1,552억원","6,856만주",기타 비금속 광물제품 제조업,비금속광물,"건설,건축관련"
218,007310,오뚜기,"25,921억원",360만주,기타 식품 제조업,음식료품,필수소비재
219,007330,푸른저축은행,"1,256억원","1,508만주",은행 및 저축기관,금융,은행
220,007340,디티알오토모티브,"3,078억원",999만주,일차전지 및 축전지 제조업,전기전자,자동차
221,007370,진양제약,463억원,"1,200만주",의약품 제조업,제약,건강관리
222,007390,네이처셀,"7,003억원","5,305만주",기초 의약물질 및 생물학적 제제 제조업,제약,필수소비재
223,007530,영신금속,218억원,"1,283만주",기타 금속 가공제품 제조업,금속,자동차
224,007540,샘표,"1,207억원",287만주,기타 금융업,기타금융업,필수소비재
225,007570,일양약품,"5,694억원","1,904만주",의약품 제조업,의약품,건강관리
226,007590,동방아그로,900억원,"1,361만주","비료, 농약 및 살균, 살충제 제조업",화학,화학
227,007610,선도전기,764억원,"1,800만주","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기전자,기계
228,007630,폴루스바이오팜,"2,549억원","3,163만주",통신 및 방송 장비 제조업,유통업,"화장품,의류,완구"
229,007660,이수페타시스,"2,579억원","4,126만주",전자부품 제조업,전기전자,IT하드웨어
230,007680,대원,"1,331억원","1,105만주",건물 건설업,종합건설,"건설,건축관련"
231,007690,국도화학,"2,730억원",581만주,기초 화학물질 제조업,화학,화학
232,007810,코리아써키트,"1,211억원","2,362만주",전자부품 제조업,전기전자,IT하드웨어
233,007820,에스엠코어,"1,813억원","2,003만주",일반 목적용 기계 제조업,"기계,장비",기계
234,007860,서연,847억원,"2,347만주",기타 금융업,기타금융업,자동차
235,007980,태평양물산,"1,390억원","4,991만주",봉제의복 제조업,섬유의복,"화장품,의류,완구"
