,quarter,시장구분,종목명,btin
63619,2,KOSDAQ,미투온,소프트웨어 개발 및 공급업
63624,3,KOSDAQ,미투온,소프트웨어 개발 및 공급업
63629,4,KOSDAQ,미투온,소프트웨어 개발 및 공급업
63630,1,KOSDAQ,미투온,소프트웨어 개발 및 공급업
63632,1,KOSDAQ,유니온커뮤니티,통신 및 방송 장비 제조업
63643,2,KOSDAQ,유니온커뮤니티,통신 및 방송 장비 제조업
63647,3,KOSDAQ,유니온커뮤니티,통신 및 방송 장비 제조업
63657,4,KOSDAQ,유니온커뮤니티,통신 및 방송 장비 제조업
63687,3,KOSDAQ,드림시큐리티,소프트웨어 개발 및 공급업
63703,1,KOSDAQ,드림시큐리티,소프트웨어 개발 및 공급업
63704,2,KOSDAQ,드림시큐리티,소프트웨어 개발 및 공급업
63732,4,KOSDAQ,드림시큐리티,소프트웨어 개발 및 공급업
63763,3,KOSDAQ,프로스테믹스,기초 의약물질 및 생물학적 제제 제조업
63783,2,KOSDAQ,프로스테믹스,기초 의약물질 및 생물학적 제제 제조업
63842,1,KOSPI,만도,자동차 신품 부품 제조업
63843,2,KOSPI,만도,자동차 신품 부품 제조업
63844,1,KOSDAQ,글로벌텍스프리,금융 지원 서비스업
63845,3,KOSDAQ,글로벌텍스프리,금융 지원 서비스업
63846,4,KOSDAQ,글로벌텍스프리,금융 지원 서비스업
63869,4,KOSDAQ,지엘팜텍,자연과학 및 공학 연구개발업
63874,4,KOSDAQ,엑셈,소프트웨어 개발 및 공급업
63882,3,KOSDAQ,엑셈,소프트웨어 개발 및 공급업
63919,1,KOSDAQ,엑셈,소프트웨어 개발 및 공급업
63977,3,KOSDAQ,덱스터,"영화, 비디오물, 방송프로그램 제작 및 배급업"
63979,2,KOSDAQ,덱스터,"영화, 비디오물, 방송프로그램 제작 및 배급업"
63980,1,KOSDAQ,덱스터,"영화, 비디오물, 방송프로그램 제작 및 배급업"
63986,4,KOSDAQ,바디텍메드,의료용품 및 기타 의약 관련제품 제조업
63987,3,KOSDAQ,바디텍메드,의료용품 및 기타 의약 관련제품 제조업
63991,2,KOSDAQ,바디텍메드,의료용품 및 기타 의약 관련제품 제조업
63992,4,KOSDAQ,유바이오로직스,의약품 제조업
64004,3,KOSDAQ,유바이오로직스,의약품 제조업
64094,4,KOSDAQ,미스터블루,기타 정보 서비스업
64099,3,KOSDAQ,미스터블루,기타 정보 서비스업
64114,2,KOSDAQ,미스터블루,기타 정보 서비스업
64131,1,KOSDAQ,미스터블루,기타 정보 서비스업
